Player,Pos,G,GS,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Steven Adams,C,63,63,26.7,4.5,0.5920000000000001,0.0,0.33299999999999996,4.5,0.594,0.593,1.9,0.5820000000000001,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,2.9
Bam Adebayo,PF,72,72,33.6,6.1,0.557,0.0,0.14300000000000002,6.1,0.564,0.5579999999999999,3.7,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,3.4
LaMarcus Aldridge,C,53,53,33.1,7.4,0.493,1.2,0.389,6.2,0.519,0.532,3.0,0.8270000000000001,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,1.4
Kyle Alexander,PF,2,0,6.5,0.5,0.5,0.0,,0.5,0.5,0.5,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,-9.6
Nickeil Alexander-Walker,SG,47,1,12.6,2.1,0.368,1.0,0.34600000000000003,1.1,0.391,0.455,0.5,0.6759999999999999,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,-4.6
Grayson Allen,SG,38,0,18.9,3.1,0.466,1.5,0.40399999999999997,1.6,0.545,0.58,1.0,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,-1.3
Jarrett Allen,C,70,64,26.5,4.3,0.649,0.0,0.0,4.3,0.6579999999999999,0.649,2.4,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,2.3
Kadeem Allen,SG,10,0,11.7,1.9,0.43200000000000005,0.5,0.313,1.4,0.5,0.489,0.7,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,-0.7
Al-Farouq Aminu,PF,18,2,21.1,1.4,0.29100000000000004,0.5,0.25,0.9,0.32,0.34299999999999997,1.1,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,-3.0
Justin Anderson,SF,10,1,10.7,1.0,0.263,0.6,0.207,0.4,0.444,0.342,0.2,0.5,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,-7.7
Kyle Anderson,PF,67,28,19.9,2.3,0.474,0.4,0.282,2.0,0.541,0.511,0.8,0.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8,0.5
Ryan Anderson,C,2,0,7.0,1.0,0.28600000000000003,0.5,0.2,0.5,0.5,0.35700000000000004,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5,-2.8
Giannis Antetokounmpo,PF,63,63,30.4,10.9,0.5529999999999999,1.4,0.304,9.5,0.631,0.589,6.3,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,11.5
Kostas Antetokounmpo,PF,5,0,4.0,0.6,1.0,0.0,,0.6,1.0,1.0,0.2,0.5,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4,-0.7
Thanasis Antetokounmpo,SF,20,2,6.5,1.2,0.5,0.0,0.0,1.2,0.632,0.5,0.4,0.41200000000000003,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,-3.2
Carmelo Anthony,PF,58,58,32.8,5.8,0.43,1.5,0.385,4.3,0.44799999999999995,0.485,2.3,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,-3.6
